t,u0,u1,y0,y1,yT0,yT1
0.0,1.0,0.0,0.0,0.0,-5.128969029028663e-06,-9.317545178166955e-06
0.002,1.0,0.0,9.930069728252912e-08,7.243675851927142e-10,-8.388186132258406e-07,1.393841273784791e-05
0.004,1.0,0.0,3.944112425552625e-07,5.722990190100829e-09,-2.8345925086909943e-07,-1.6769696420120785e-05
0.006,1.0,0.0,8.811573324033639e-07,1.9071637807793726e-08,4.91744765525402e-06,-4.134057598987534e-06
0.008,1.0,0.0,1.5553824601231847e-06,4.4628612121548524e-08,9.213245557308058e-07,-3.029234669742986e-06
0.01,1.0,0.0,2.412948406781363e-06,8.603423854149968e-08,1.2046108872906438e-05,-1.1172316285684127e-05
0.012,1.0,0.0,3.4497356655857913e-06,1.4671090923711238e-07,1.2729543610138535e-05,6.386759460150299e-06
0.014,1.0,0.0,4.66164380656569e-06,2.298636511015584e-07,1.3833453690436173e-05,-1.4078354678809485e-06
0.016,1.0,0.0,6.044591788268556e-06,3.3848119264876353e-07,7.5266233099049325e-06,-1.2946439047066694e-05
0.018000000000000002,1.0,0.0,7.594518222890123e-06,4.7533750396302497e-07,1.6667490993131113e-05,-1.005218911655376e-05
0.02,1.0,0.0,9.307381600960635e-06,6.429937839917856e-07,-8.042972170945268e-06,-2.1584817038781895e-05
0.022,1.0,0.0,1.1179160481417283e-05,8.438008696915521e-07,9.236320166784336e-06,-6.398526323212727e-06
0.024,1.0,0.0,1.3205853652599544e-05,1.0799020418022263e-06,1.6107084149279352e-05,-5.531401033034293e-06
0.026000000000000002,1.0,0.0,1.5383480269411895e-05,1.3532362023335078e-06,2.8922474079530148e-05,-5.59764753661087e-07
0.028,1.0,0.0,1.77080799716078e-05,1.665541399195759e-06,1.3172919609405083e-05,3.1743137357393503e-06
0.03,1.0,0.0,2.017571298786046e-05,2.0183586737941136e-06,2.9261976575450203e-05,-9.526988912357235e-06
0.032,1.0,0.0,2.2782460230000302e-05,2.4130362078259827e-06,2.6158466943765916e-05,-2.953878325168068e-06
0.034,1.0,0.0,2.552442338151703e-05,2.85073374597588e-06,2.3726713348631544e-05,-5.7700392522266765e-06
0.036000000000000004,1.0,0.0,2.839772498414585e-05,3.3324272716850828e-06,2.3892371343911652e-05,-9.552661987205964e-06
0.038,1.0,0.0,3.139850852608368e-05,3.858913913684574e-06,3.482801996633098e-05,1.1461413995976848e-05
0.04,1.0,0.0,3.452293853511225e-05,4.430817061515573e-06,3.155350308815881e-05,1.9100459304060116e-06
0.042,1.0,0.0,3.776720067964121e-05,5.048591668820308e-06,2.3402144319095303e-05,4.192182225553411e-06
0.044,1.0,0.0,4.1127501880426725e-05,5.712529723764323e-06,3.850455362976268e-05,-2.5376941645212165e-07
0.046,1.0,0.0,4.460007043546868e-05,6.422765866548146e-06,4.8851973226529724e-05,6.901276450408769e-06
0.048,1.0,0.0,4.818115616034447e-05,7.17928313457859e-06,3.3694476376332356e-05,-1.855382878835208e-05
0.05,1.0,0.0,5.186703054599813e-05,7.981918816496044e-06,5.3954977324590864e-05,6.802780529950599e-06
0.052000000000000005,1.0,0.0,5.5653986935771894e-05,8.830370396891891e-06,3.4982748751958816e-05,9.279685489634864e-06
0.054,1.0,0.0,5.9538340723242126e-05,9.724201574197684e-06,6.958709797396104e-05,2.043042055882122e-05
0.056,1.0,0.0,6.351642957220446e-05,1.0662848334883084e-05,7.5574110755017e-05,2.16901308899386e-05
0.058,1.0,0.0,6.75846136599428e-05,1.1645625067760829e-05,6.938203296318033e-05,2.834292945773868e-05
0.06,1.0,0.0,7.173927594471489e-05,1.2671730702862747e-05,9.293180358104805e-05,4.183175564874337e-06
0.062,1.0,0.0,7.597682245819273e-05,1.3740254860018915e-05,8.736720645270662e-05,-4.789463168022496e-06
0.064,1.0,0.0,8.02936826234096e-05,1.4850183992941481e-05,9.068522889211054e-05,1.0299828222545197e-05
0.066,1.0,0.0,8.468630959858717e-05,1.60004075152833e-05,7.645658725414061e-05,1.4997200907745868e-05
0.068,1.0,0.0,8.915118064704597e-05,1.7189723895808434e-05,0.00010251605916668665,2.485584218152694e-05
0.07,1.0,0.0,9.368479753323999e-05,1.8416846710475053e-05,7.849775592501282e-05,2.61960898027427e-05
0.07200000000000001,1.0,0.0,9.828368694480243e-05,1.9680410639890223e-05,8.925846691655131e-05,1.5184319090851637e-05
0.074,1.0,0.0,0.00010294440094034354,2.0978977401249072e-05,0.00010852951896273641,1.8948981113743036e-05
0.076,1.0,0.0,0.00010766351742260357,2.2311041604517053e-05,0.00010304894785178521,2.266222115475389e-05
0.078,1.0,0.0,0.00011243764063643426,2.3675036523251962e-05,0.00011275895346946493,8.526041415383368e-06
0.08,1.0,0.0,0.00011726340169096038,2.5069339771091413e-05,0.00010844120216430847,4.269000972328912e-05
0.082,1.0,0.0,0.0001221374591051591,2.649227887555038e-05,0.00011892348324990399,1.84354754316152e-05
