t,u0,u1,y0,y1,yT0,yT1
0.0,1.0,0.0,0.0,0.0,7.675481127675568e-06,-5.381567414457429e-07
0.002,1.0,0.0,9.930069728252912e-08,7.243675851927142e-10,3.899692160037512e-05,-9.289924529521268e-06
0.004,1.0,0.0,3.944112425552625e-07,5.722990190100829e-09,-4.03366997525212e-05,1.8716965957996172e-05
0.006,1.0,0.0,8.811573324033639e-07,1.9071637807793726e-08,-4.480598209330238e-06,-1.1670303172820028e-05
0.008,1.0,0.0,1.5553824601231847e-06,4.4628612121548524e-08,-2.976425177104683e-05,-7.692803856267682e-06
0.01,1.0,0.0,2.412948406781363e-06,8.603423854149968e-08,-2.043708160388898e-05,3.312928590367507e-05
0.012,1.0,0.0,3.4497356655857913e-06,1.4671090923711238e-07,1.7102165941166962e-05,4.6049332184645465e-06
0.014,1.0,0.0,4.66164380656569e-06,2.298636511015584e-07,-2.715723871235547e-05,1.249352041479558e-05
0.016,1.0,0.0,6.044591788268556e-06,3.3848119264876353e-07,3.79342370473292e-05,2.1827313712101797e-05
0.018000000000000002,1.0,0.0,7.594518222890123e-06,4.7533750396302497e-07,5.469004807049625e-06,2.639071187138572e-05
0.02,1.0,0.0,9.307381600960635e-06,6.429937839917856e-07,-2.2279659645807115e-05,2.5866787696404555e-05
0.022,1.0,0.0,1.1179160481417283e-05,8.438008696915521e-07,4.570701668668958e-06,1.6033595387285864e-05
0.024,1.0,0.0,1.3205853652599544e-05,1.0799020418022263e-06,4.617775095249759e-05,2.2851330483891503e-05
0.026000000000000002,1.0,0.0,1.5383480269411895e-05,1.3532362023335078e-06,1.8550481570034152e-05,1.4450191151422125e-05
0.028,1.0,0.0,1.77080799716078e-05,1.665541399195759e-06,-2.029233364400524e-06,-1.2293224250262683e-05
0.03,1.0,0.0,2.017571298786046e-05,2.0183586737941136e-06,3.96797954856621e-06,1.4465123679172983e-05
0.032,1.0,0.0,2.2782460230000302e-05,2.4130362078259827e-06,2.3141610845085266e-05,1.819587614930218e-05
0.034,1.0,0.0,2.552442338151703e-05,2.85073374597588e-06,4.165907861749183e-05,-2.651450437078839e-05
0.036000000000000004,1.0,0.0,2.839772498414585e-05,3.3324272716850828e-06,1.9963297653677983e-05,1.916782637804247e-05
0.038,1.0,0.0,3.139850852608368e-05,3.858913913684574e-06,2.1333841974789274e-05,-9.282957946729406e-06
0.04,1.0,0.0,3.452293853511225e-05,4.430817061515573e-06,2.1296016827482185e-05,2.910086922139313e-06
0.042,1.0,0.0,3.776720067964121e-05,5.048591668820308e-06,6.762711032834697e-05,1.3435843484354827e-05
0.044,1.0,0.0,4.1127501880426725e-05,5.712529723764323e-06,4.335088605790266e-05,-2.577151285756794e-05
0.046,1.0,0.0,4.460007043546868e-05,6.422765866548146e-06,3.0469886176415478e-05,-2.7863817368724185e-05
0.048,1.0,0.0,4.818115616034447e-05,7.17928313457859e-06,5.201638419200254e-05,-9.43535891726522e-06
0.05,1.0,0.0,5.186703054599813e-05,7.981918816496044e-06,5.355508090362171e-05,4.3765147602128125e-06
0.052000000000000005,1.0,0.0,5.5653986935771894e-05,8.830370396891891e-06,5.2629935962718496e-05,-1.3220149185638099e-05
0.054,1.0,0.0,5.9538340723242126e-05,9.724201574197684e-06,5.5902696545005635e-05,-1.8253124446549118e-05
0.056,1.0,0.0,6.351642957220446e-05,1.0662848334883084e-05,8.009707950222413e-05,3.15557599517891e-05
