t,u0,u1,y0,y1,yT0,yT1
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.002,1.000999500166625,0.00498752080731768,9.930069728252912e-08,7.243675851927142e-10,9.930069728252912e-08,7.243675851927142e-10
0.004,1.0019980013326668,0.009950166250831893,3.9451410641714564e-07,6.705921532295044e-09,3.9451410641714564e-07,6.705921532295044e-09
0.006,1.002995504496627,0.014888060396937353,8.816828366801913e-07,2.3923044973500018e-08,8.816828366801913e-07,2.3923044973500018e-08
0.008,1.0039920106560085,0.019801326693244747,1.5568831480811038e-06,5.803961220420213e-08,1.5568831480811038e-06,5.803961220420213e-08
0.01,1.0049875208073176,0.024690087971667385,2.416224279090742e-06,1.1440507665136128e-07,2.416224279090742e-06,1.1440507665136128e-07
0.012,1.0059820359460647,0.029554466451491845,3.4558477115294006e-06,1.9805528975190355e-07,3.4558477115294006e-06,1.9805528975190355e-07
0.014,1.006975557066765,0.03439458374243354,4.671926382275878e-06,3.1371401442907806e-07,4.671926382275878e-06,3.1371401442907806e-07
0.016,1.0079680851629393,0.03921056084767682,6.060663851032932e-06,4.657950970405517e-07,6.060663851032932e-06,4.657950970405517e-07
0.018000000000000002,1.0089596212271164,0.04400251816690015,7.618293432957034e-06,6.584052619286864e-07,7.618293432957034e-06,6.584052619286864e-07
0.02,1.009950166250832,0.048770575499285984,9.341077304532644e-06,8.953474930269354e-07,9.341077304532644e-06,8.953474930269354e-07
0.022,1.0109397212246312,0.05351485204651607,1.1225305590644297e-05,1.1801249673626925e-06,1.1225305590644297e-05,1.1801249673626925e-06
0.024,1.0119282871380695,0.05823546641575128,1.3267295440374544e-05,1.5159455057423562e-06,1.3267295440374544e-05,1.5159455057423562e-06
0.026000000000000002,1.0129158649797123,0.06293253662259657,1.5463390098633268e-05,1.9057265064050112e-06,1.5463390098633268e-05,1.9057265064050112e-06
0.028,1.013902455737138,0.06760618009405173,1.7809957980304782e-05,2.352100327983228e-06,1.7809957980304782e-05,2.352100327983228e-06
0.03,1.0148880603969372,0.07225651367144714,2.0303391753184504e-05,2.857420088709355e-06,2.0303391753184504e-05,2.857420088709355e-06
0.032,1.0158726799447149,0.07688365361336424,2.294010743556741e-05,3.4237658494496943e-06,2.294010743556741e-05,3.4237658494496943e-06
0.034,1.0168563153650902,0.08148771559854262,2.5716543513946698e-05,4.052951148833615e-06,2.5716543513946698e-05,4.052951148833615e-06
0.036000000000000004,1.0178389676416992,0.08606881472877181,2.8629160085884e-05,4.7465298594664435e-06,2.8629160085884e-05,4.7465298594664435e-06
0.038,1.018820637757194,0.09062706553176858,3.1674438032722394e-05,5.505803334970588e-06,3.1674438032722394e-05,5.505803334970588e-06
0.04,1.0198013266932446,0.09516258196404048,3.484887822643122e-05,6.331827818385457e-06,3.484887822643122e-05,6.331827818385457e-06
0.042,1.0207810354305404,0.09967547741373439,3.8149000774497535e-05,7.225422083270146e-06,3.8149000774497535e-05,7.225422083270146e-06
0.044,1.02175976494879,0.10416586470347178,4.157134430641416e-05,8.18717527969052e-06,4.157134430641416e-05,8.18717527969052e-06
0.046,1.022737516226723,0.10863385609316867,4.5112465304957736e-05,9.217454958131151e-06,4.5112465304957736e-05,9.217454958131151e-06
0.048,1.0237142902420908,0.11307956328284252,4.8768937485104186e-05,1.0316415245249778e-05,4.8768937485104186e-05,1.0316415245249778e-05
0.05,1.0246900879716674,0.11750309741540454,5.253735122309244e-05,1.1484005146284556e-05,5.253735122309244e-05,1.1484005146284556e-05
0.052000000000000005,1.0256649103912507,0.1219045690794387,5.6414313037821e-05,1.2719976949829917e-05,5.6414313037821e-05,1.2719976949829917e-05
0.054,1.0266387584756633,0.12628408831196558,6.0396445126446643e-05,1.402389471161245e-05,6.0396445126446643e-05,1.402389471161245e-05
0.056,1.0276116331987533,0.13064176460119414,6.44803849557496e-05,1.5395142794821656e-05,6.44803849557496e-05,1.5395142794821656e-05
0.058,1.0285835355333952,0.1349777068892587,6.866278491053604e-05,1.683293444547904e-05,6.866278491053604e-05,1.683293444547904e-05
0.06,1.0295544664514917,0.1392920235749422,7.294031200006627e-05,1.8336320382260752e-05,7.294031200006627e-05,1.8336320382260752e-05
0.062,1.0305244269239742,0.1435848225163865,7.730964762322577e-05,1.990419738112145e-05,7.730964762322577e-05,1.990419738112145e-05
0.064,1.0314934179208024,0.14785621103378865,8.176748739289687e-05,2.1535316835998372e-05,8.176748739289687e-05,2.1535316835998372e-05
0.066,1.032461440410968,0.15210629591208413,8.631054101974039e-05,2.3228293277802527e-05,8.631054101974039e-05,2.3228293277802527e-05
0.068,1.0334284953624935,0.1563351834036163,9.093553225536058e-05,2.4981612834826946e-05,9.093553225536058e-05,2.4981612834826946e-05
