t,u0,u1,y0,y1,yT0,yT1
0.0,1.0,0.0,0.0,0.0,8.016396056498255e-06,-1.2958471881456345e-05
0.002,1.0,0.0,9.930069728252912e-08,7.24367585192714e-10,-9.823015431604617e-06,-4.780240895365623e-06
0.004,1.0,0.0,3.944112425552625e-07,5.722990190100828e-09,-1.2559495982288296e-06,1.5451911739190552e-05
0.006,1.0,0.0,8.81157332403364e-07,1.907163780779373e-08,1.8992809619049557e-05,2.2808057242089547e-05
0.008,1.0,0.0,1.5553824601231847e-06,4.462861212154853e-08,-1.85460092993e-05,-1.363988786189302e-05
0.01,1.0,0.0,2.412948406781363e-06,8.60342385414997e-08,9.152579694882198e-06,3.7478094581123396e-06
0.012,1.0,0.0,3.4497356655857905e-06,1.4671090923711243e-07,-8.302893392749017e-06,-7.3355252194451484e-06
0.014,1.0,0.0,4.6616438065656895e-06,2.298636511015585e-07,4.704583548245302e-06,2.253103984014219e-05
0.016,1.0,0.0,6.044591788268555e-06,3.3848119264876364e-07,1.4027606236292818e-05,2.244725171195108e-07
0.018000000000000002,1.0,0.0,7.5945182228901225e-06,4.75337503963025e-07,2.2325287082923125e-05,8.985065698771828e-06
0.02,1.0,0.0,9.307381600960633e-06,6.429937839917857e-07,2.9853338531764308e-05,-7.610665300085884e-06
0.022,1.0,0.0,1.1179160481417281e-05,8.438008696915523e-07,-7.476086197920076e-06,-9.847376145132515e-06
0.024,1.0,0.0,1.3205853652599541e-05,1.0799020418022265e-06,2.183058512344581e-05,-1.696876910469583e-05
0.026000000000000002,1.0,0.0,1.538348026941189e-05,1.3532362023335083e-06,3.008126413450211e-05,-1.1901404958204833e-05
0.028,1.0,0.0,1.7708079971607794e-05,1.6655413991957596e-06,1.100036808202954e-05,3.4144096542703915e-06
0.03,1.0,0.0,2.0175712987860452e-05,2.018358673794114e-06,1.566729745900235e-05,-1.5973589605596413e-05
0.032,1.0,0.0,2.2782460230000296e-05,2.413036207825983e-06,4.31119661709104e-06,-2.469118251823295e-07
0.034,1.0,0.0,2.5524423381517018e-05,2.8507337459758806e-06,1.6242534652607023e-05,-5.599623109472086e-06
0.036000000000000004,1.0,0.0,2.8397724984145833e-05,3.3324272716850836e-06,-8.692743011614516e-06,-2.0337034468683386e-05
