t,u0,u1,y0,y1,yT0,yT1
0.0,1.0,0.0,0.0,0.0,-1.2631693436162556e-05,4.3753629109610935e-06
0.002,1.0,0.0,9.930069728252912e-08,7.24367585192714e-10,3.96443496139893e-06,-1.2456604281291281e-05
0.004,1.0,0.0,3.944112425552625e-07,5.722990190100828e-09,5.21577503491563e-06,3.301098976447607e-05
0.006,1.0,0.0,8.81157332403364e-07,1.907163780779373e-08,8.033923462886991e-06,2.1777296096840046e-06
0.008,1.0,0.0,1.5553824601231847e-06,4.462861212154853e-08,1.6424078239818623e-05,-2.2556073096697005e-05
0.01,1.0,0.0,2.412948406781363e-06,8.60342385414997e-08,-3.0185353817865932e-05,1.2597297854818741e-05
0.012,1.0,0.0,3.4497356655857905e-06,1.4671090923711243e-07,-3.086397049509901e-05,-3.271681247708615e-06
0.014,1.0,0.0,4.6616438065656895e-06,2.298636511015585e-07,4.63397809111279e-06,9.372178138163972e-07
0.016,1.0,0.0,6.044591788268555e-06,3.3848119264876364e-07,-5.829535634873217e-06,7.795966340496367e-06
0.018000000000000002,1.0,0.0,7.5945182228901225e-06,4.75337503963025e-07,8.800055631573489e-06,6.638176431134475e-06
0.02,1.0,0.0,9.307381600960633e-06,6.429937839917857e-07,-7.006729806507145e-06,-3.39797176732582e-05
0.022,1.0,0.0,1.1179160481417281e-05,8.438008696915523e-07,1.8468725212288052e-05,1.0292379176618825e-05
0.024,1.0,0.0,1.3205853652599541e-05,1.0799020418022265e-06,2.667859920848494e-06,2.0139421935949587e-05
0.026000000000000002,1.0,0.0,1.538348026941189e-05,1.3532362023335083e-06,2.047411934555432e-05,1.950012241641991e-05
0.028,1.0,0.0,1.7708079971607794e-05,1.6655413991957596e-06,2.5933256455811235e-05,-1.0377280167763137e-05
0.03,1.0,0.0,2.0175712987860452e-05,2.018358673794114e-06,2.808231382682469e-05,8.762758599518672e-06
0.032,1.0,0.0,2.2782460230000296e-05,2.413036207825983e-06,-1.2479065821588279e-06,-8.978100256607676e-06
0.034,1.0,0.0,2.5524423381517018e-05,2.8507337459758806e-06,5.058102375994916e-05,-1.1731334193544528e-06
0.036000000000000004,1.0,0.0,2.8397724984145833e-05,3.3324272716850836e-06,1.096719958311666e-05,7.214924941640372e-06
0.038,1.0,0.0,3.139850852608366e-05,3.858913913684575e-06,5.48254138802812e-05,5.208064282324934e-07
0.04,1.0,0.0,3.452293853511222e-05,4.430817061515573e-06,2.642911596041661e-05,-2.050684207950248e-06
0.042,1.0,0.0,3.776720067964118e-05,5.048591668820309e-06,7.572142669166474e-06,1.8732380153857032e-05
0.044,1.0,0.0,4.1127501880426684e-05,5.712529723764325e-06,3.13477602400537e-05,3.305164543091363e-05
0.046,1.0,0.0,4.4600070435468635e-05,6.422765866548147e-06,7.363930071970007e-05,-2.2990853065124587e-06
0.048,1.0,0.0,4.818115616034441e-05,7.1792831345785905e-06,3.188719064966015e-05,-1.0524458685361696e-07
0.05,1.0,0.0,5.186703054599807e-05,7.981918816496044e-06,3.681435221213575e-05,1.887385517990497e-05
0.052000000000000005,1.0,0.0,5.565398693577182e-05,8.83037039689189e-06,6.735019501432325e-05,-9.110801189256785e-06
0.054,1.0,0.0,5.953834072324205e-05,9.724201574197684e-06,7.477283101227411e-05,1.1729054510574457e-05
0.056,1.0,0.0,6.351642957220438e-05,1.0662848334883085e-05,6.26322073650892e-05,2.809506528300928e-07
0.058,1.0,0.0,6.758461365994271e-05,1.1645625067760832e-05,6.0474326541801984e-05,2.927251742155711e-05
0.06,1.0,0.0,7.173927594471479e-05,1.267173070286275e-05,9.179111186299582e-05,-1.1406742148186061e-05
0.062,1.0,0.0,7.597682245819262e-05,1.3740254860018918e-05,5.478956044284046e-05,-1.3475917048179369e-05
0.064,1.0,0.0,8.029368262340948e-05,1.4850183992941483e-05,7.111009161069975e-05,1.3277175854566911e-05
0.066,1.0,0.0,8.468630959858705e-05,1.60004075152833e-05,7.597791963045476e-05,3.499204511928521e-05
0.068,1.0,0.0,8.915118064704583e-05,1.718972389580843e-05,8.19348877985431e-05,2.5609226098744214e-06
0.07,1.0,0.0,9.368479753323984e-05,1.8416846710475053e-05,6.659112434927251e-05,1.4246307147722548e-05
0.07200000000000001,1.0,0.0,9.828368694480228e-05,1.9680410639890223e-05,7.385999147987673e-05,1.0075065769355925e-05
0.074,1.0,0.0,0.00010294440094034338,2.097897740124907e-05,9.626971135815471e-05,1.863178133688059e-05
0.076,1.0,0.0,0.0001076635174226034,2.2311041604517046e-05,0.00011209616880824973,1.570262168963679e-05
0.078,1.0,0.0,0.00011243764063643406,2.367503652325195e-05,0.0001230460614427304,2.9912406837957065e-05
0.08,1.0,0.0,0.00011726340169096016,2.50693397710914e-05,0.00012827741322607867,1.4129188137721796e-05
0.082,1.0,0.0,0.00012213745910515886,2.6492278875550365e-05,0.0001197357322576537,4.604255554961096e-05
0.084,1.0,0.0,0.00012705649937598865,2.7942136741381508e-05,0.0001263391573540064,4.1541190122345365e-05
0.08600000000000001,1.0,0.0,0.0001320172375681012,2.9417156996347332e-05,0.00011029509046730956,4.408793806175868e-05
0.088,1.0,0.0,0.00013701641792407938,3.0915549212837194e-05,0.00014763464759163023,3.826677693590963e-05
0.09,1.0,0.0,0.00014205081449406045,3.243549399933284e-05,0.00011871138693326125,5.565672129610162e-05
0.092,1.0,0.0,0.0001471172317835292,3.3975147956283346e-05,0.00014386132388346875,2.4124239236541918e-05
0.094,1.0,0.0,0.00015221250541799593,3.553264849149297e-05,0.00016778619380475467,3.023214883893709e-05
0.096,1.0,0.0,0.000157333502823213,3.710611849065326e-05,0.00014199807130879703,4.044201961169966e-05
0.098,1.0,0.0,0.00016247712391952976,3.86936708391635e-05,0.00017567319343284504,6.385625239878894e-05
0.1,1.0,0.0,0.0001676403018289364,4.029341279188068e-05,0.00031334324113491726,-9.494816967696626e-06
0.10200000000000001,1.0,0.0,0.00017282000359330698,4.1903450187920764e-05,0.0002049528803215913,7.978417685756606e-05
0.10400000000000001,1.0,0.0,0.00017801323090231634,4.352189150809821e-05,0.0002032626527958142,4.2670620954565805e-05
0.106,1.0,0.0,0.00018321702082947622,4.514685177303869e-05,0.00024930195933161865,0.00018233456223018754
0.108,1.0,0.0,0.00018842844657471387,4.67764562804313e-05,0.0001861213577026775,0.00010772073416843796
0.11,1.0,0.0,0.0001936446182118978,4.84088441803015e-05,0.00019162841703241089,5.084691364542321e-05
0.112,1.0,0.0,0.00019886268343970455,5.004217188758348e-05,0.00023641518889160013,1.6827702384568124e-05
0.114,1.0,0.0,0.0002040798283342135,5.167461633165139e-05,5.921748778766746e-05,1.2538418832794592e-05
0.116,1.0,0.0,0.00020929327810161456,5.330437804283251e-05,0.000168280126366582,0.0001614287627491697
0.11800000000000001,1.0,0.0,0.00021450029782941828,5.492968407627206e-05,0.0002147484663084716,0.00022271660094470586
0.12,1.0,0.0,0.00021969819323456493,5.654879077384906e-05,0.00019260212745408325,3.454122777110465e-05
0.122,1.0,0.0,0.00022488431140684176,5.8159986365155437e-05,4.061517918778828e-05,0.00012792028393058578
0.124,1.0,0.0,0.00023005604154603454,5.976159340884648e-05,0.00020653365368434803,0.00010580349517735663
0.126,1.0,0.0,0.00023521081569126003,6.135197107595058e-05,0.0003180904249268873,6.027263732921004e-05
0.128,1.0,0.0,0.00024034610944095023,6.292951727698884e-05,0.00016349775957177464,0.0001380648590055743
0.13,1.0,0.0,0.0002454594426619873,6.449267063500225e-05,0.00036463434035598495,-3.209254755157197e-05
0.132,1.0,0.0,0.0002505483801865193,6.603991230681491e-05,0.0001965058764175639,6.927781219311212e-05
0.134,1.0,0.0,0.00025561053249502147,6.756976765507708e-05,0.00033353542896662707,8.278507862525137e-05
0.136,1.0,0.0,0.00026064355638420435,6.908080777383134e-05,0.00023615994373252165,4.495177293649222e-05
0.138,1.0,0.0,0.0002656451556184111,7.057165087053009e-05,0.0003845894381791157,5.235462632007102e-05
0.14,1.0,0.0,0.00027061308156318774,7.204096350760215e-05,0.00015975142962584642,-1.81874601320016e-05
0.14200000000000002,1.0,0.0,0.00027554513379975505,7.348746170682164e-05,0.0003820897195768733,6.141591371784797e-05
0.14400000000000002,1.0,0.0,0.0002804391607191586,7.490991191987372e-05,0.00022742697957447769,6.302110107439887e-05
0.146,1.0,0.0,0.00028529306009492,7.630713186863874e-05,0.00028115538101948094,0.00018765217359046195
0.148,1.0,0.0,0.00029010477963306564,7.767799125883112e-05,0.0002008395319262745,0.00017996426100131405
0.15,1.0,0.0,0.0002948723174984581,7.902141237072951e-05,0.0003140141306534488,4.100936271797445e-05
0.152,1.0,0.0,0.0002995937228164113,8.033637053082398e-05,0.0002779802828119299,0.00017126237927797303
0.154,1.0,0.0,0.00030426709614862275,8.162189446828195e-05,0.0003273612692573657,0.00016850308173871489
0.156,1.0,0.0,0.000308890589942513,8.287706656019896e-05,0.00043639466494074493,-1.6843077059322547e-05
0.158,1.0,0.0,0.00031346240895311803,8.410102296965375e-05,0.0003861492291261018,0.00014707352468045686
0.16,1.0,0.0,0.000317980810636737,8.529295368062932e-05,0.0001796297449176606,0.0001125976254737265
0.162,1.0,0.0,0.0003224441055155949,8.645210243389312e-05,0.0002648346432380191,0.00017683415452920013
0.164,1.0,0.0,0.0003268506575128393,8.757776656795144e-05,0.0002349715178946899,0.0001188283301983404
0.166,1.0,0.0,0.0003311988842572442,8.86692967692048e-05,0.0002956401477036505,8.40017871160325e-05
0.168,1.0,0.0,0.00033548725735705644,8.972609673543413e-05,0.00033657419985209263,1.786571172822267e-05
0.17,1.0,0.0,0.0003397143026424753,9.074762275674123e-05,0.0003276737316844171,5.735896560991168e-05
0.17200000000000001,1.0,0.0,0.00034387860037631354,9.173338321805296e-05,0.0005162533917342734,0.0001497273816188336
0.17400000000000002,1.0,0.0,0.0003479787854324476,9.268293802727603e-05,0.0004673166114074384,0.000161187496307218
0.176,1.0,0.0,0.0003520135474417183,9.359589797315947e-05,0.00025071508454459576,2.0655569370211797e-05
0.178,1.0,0.0,0.0003559816309050042,9.447192401688523e-05,0.00036041859395617346,9.00440610828234e-05
0.18,1.0,0.0,0.0003598818352732399,9.531072652136341e-05,0.0003361067348593023,5.299284739096516e-05
0.182,1.0,0.0,0.0003637130149942124,9.611206442215894e-05,0.0004076679893088796,1.5187560242486411e-05
0.184,1.0,0.0,0.00036747407952601805,9.6875744343921e-05,0.0004482234629155366,0.00011509089872769025
0.186,1.0,0.0,0.0003711639933171188,9.7601619666125e-05,0.00024307897036162437,4.0553484661950916e-05
0.188,1.0,0.0,0.0003747817757529873,9.828958954187084e-05,0.00044165273515569907,0.00020109588776899846
0.19,1.0,0.0,0.0003783265010693818,9.893959787341032e-05,0.0003130730641744579,1.4640856049347642e-05
0.192,1.0,0.0,0.0003817972982323418,9.955163224800106e-05,0.00030618682978267493,7.153533961644987e-05
0.194,1.0,0.0,0.00038519335078504444,0.00010012572283760553,0.0003805014101838034,0.0001876963181875308
0.196,1.0,0.0,0.0003885138966617089,0.00010066194126587022,0.0004421805667120403,9.071071633417696e-05
0.198,1.0,0.0,0.00039175822796878136,0.0001011603994457348,0.000411645226157657,0.00010118905099229316
0.2,1.0,0.0,0.0003949256907336792,0.00010162124839093145,0.0003943118745858666,0.00011439418691575462
0.202,1.0,0.0,0.0003980156846214161,0.00010204467700454327,0.00041065866381795286,0.00011120125019241771
0.20400000000000001,1.0,0.0,0.00040102766261947034,0.00010243091084769681,0.00039359448833665154,0.00012123567866303664
0.20600000000000002,1.0,0.0,0.00040396113069130055,0.0001027802108913677,0.0004303078849321373,9.834573986758074e-05
0.20800000000000002,1.0,0.0,0.00040681564739895057,0.00010309287225418131,0.0003802018872913108,0.00011180637792708437
0.21,1.0,0.0,0.0004095908234952238,0.00010336922292899116,0.00041815503106499977,8.940989168017685e-05
0.212,1.0,0.0,0.0004122863214859415,0.00010360962250091781,0.00041307178669170206,8.747419243615124e-05
0.214,1.0,0.0,0.00041490185516283385,0.00010381446085943021,0.00039572997599543404,0.00011282189908345745
0.216,1.0,0.0,0.00041743718910764675,0.00010398415690695028,0.00041973752377121314,8.246671307129731e-05
0.218,1.0,0.0,0.0004198921381680749,0.00010411915726635923,0.00042517576837838676,0.00010222636507412864
0.22,1.0,0.0,0.000422266566906164,0.00010421993498968268,0.000428111003369471,9.493282183264078e-05
0.222,1.0,0.0,0.0004245603890198502,0.00010428698827012959,0.0004057312846974979,0.00011135366076158273
0.224,1.0,0.0,0.00042677356673833137,0.00010432083915955856,0.00040652314426965476,0.00010075928030669291
0.226,1.0,0.0,0.0004289061101919905,0.00010432203229334429,0.0004371947762035313,0.00010288706840601132
0.228,1.0,0.0,0.00043095807675761074,0.00010429113362451623,0.0004229463630537351,0.0001238442289616146
0.23,1.0,0.0,0.00043292957037964567,0.00010422872916894263,0.00046468224296807985,0.0001280595930310895
0.232,1.0,0.0,0.00043482074086832664,0.00010413542376323444,0.0004319055464273525,0.0001152557195402067
0.234,1.0,0.0,0.000436631783175406,0.00010401183983694646,0.000412558952473974,0.00012063713693123118
0.23600000000000002,1.0,0.0,0.00043836293664835244,0.00010385861620055722,0.00044645305382758635,0.00011541903291377266
0.23800000000000002,1.0,0.0,0.00044001448426382784,0.00010367640685061501,0.00044320185120780026,0.00011604304842347748
0.24,1.0,0.0,0.00044158675184128947,0.00010346587979334438,0.0004675731605476103,0.00011496419129695406
0.242,1.0,0.0,0.0004430801072375724,0.00010322771588791677,0.0004310822285085924,0.00010796292429079635
0.244,1.0,0.0,0.00044449495952331576,0.00010296260771049943,0.0004354543842787503,0.00010486693138638298
0.246,1.0,0.0,0.00044583175814210784,0.00010267125844010984,0.00044276192508215244,0.00011774732142998804
0.248,1.0,0.0,0.00044709099205322877,0.0001023543807672175,0.0004168377097481334,0.00011112766379595159
0.25,1.0,0.0,0.0004482731888588785,0.00010201269582595173,0.0004496443910752215,0.000112491396702876
0.252,1.0,0.0,0.0004493789139167796,0.00010164693215069365,0.0004679087767128181,0.00011486451845349094
0.254,1.0,0.0,0.0004504087694390486,0.000101257824657751,0.0004638734172071406,8.200538994235277e-05
0.256,1.0,0.0,0.0004513633935782323,0.000100846113652739,0.00043886767399068326,0.00010195991424408227
0.258,1.0,0.0,0.000452243459501403,0.00010041254386421567,0.00046314718884014417,9.82290423956853e-05
0.26,1.0,0.0,0.00045304967445320945,9.995786350404896e-05,0.00045904834616246446,0.00010489950437327025
0.262,1.0,0.0,0.00045378277880877584,9.948282335492319e-05,0.0004706240199750597,9.921180766699407e-05
0.264,1.0,0.0,0.00045444354511733854,9.898817588532606e-05,0.0004216860258334257,8.518078093942659e-05
0.266,1.0,0.0,0.00045503277713750725,9.847467439229297e-05,0.00047552335580771553,0.00010806890370496875
0.268,1.0,0.0,0.00045555130886503045,9.794307217212347e-05,0.00045687577043659097,8.07923696989612e-05
0.27,1.0,0.0,0.00045600000355393983,9.739412171922557e-05,0.00047606192028047775,9.301390828226049e-05
0.272,1.0,0.0,0.0004563797527319405,9.682857395318644e-05,0.000441780519172917,9.99224840131714e-05
0.274,1.0,0.0,0.0004566914752109054,9.62471774741142e-05,0.000496786764360576,7.36356022612538e-05
0.276,1.0,0.0,0.0004569361160933243,9.565067784624325e-05,0.0004564749431904448,7.597989392687322e-05
0.278,1.0,0.0,0.00045711464577554605,9.503981690974633e-05,0.0004553652729401272,8.663274998451649e-05
0.28,1.0,0.0,0.0004572280589486432,9.44153321206496e-05,0.0004764536496689008,9.645443692355849e-05
0.28200000000000003,1.0,0.0,0.0004572773735977165,9.377795591870264e-05,0.00043844352895800387,8.507170674421943e-05
0.28400000000000003,1.0,0.0,0.0004572636300004434,9.312841512301308e-05,0.00045144552007371063,8.909843110989277e-05
0.28600000000000003,1.0,0.0,0.0004571878897256624,9.246743035521576e-05,0.0004735646849997032,9.240615278487999e-05
0.28800000000000003,1.0,0.0,0.00045705123463277137,9.17957154899093e-05,0.0004716910134362601,5.102619376111069e-05
0.29,1.0,0.0,0.000456854765872703,9.111397713205773e-05,0.0004759315377995785,0.00010249610420347875
0.292,1.0,0.0,0.000456599602891227,9.042291412102185e-05,0.0004367062111645235,9.311200692767284e-05
0.294,1.0,0.0,0.0004562868824353106,8.972321706085495e-05,0.000475580298435878,7.935182801180782e-05
0.296,1.0,0.0,0.0004559177575632565,8.901556787646863e-05,0.0004359454404376637,8.016272450617636e-05
0.298,1.0,0.0,0.0004554933966593166,8.83006393952485e-05,0.0004416625643760232,7.859753659282152e-05
0.3,1.0,0.0,0.00045501498245346803,8.757909495367538e-05,0.00042730604749789073,6.967944391971023e-05
0.302,1.0,0.0,0.0004544837110470153,8.685158802848543e-05,0.00043145155100819774,8.019914002989643e-05
0.304,1.0,0.0,0.00045390079094467,8.611876189188238e-05,0.00046219870205966494,8.556804729811733e-05
0.306,1.0,0.0,0.00045326744209373633,8.538124929029708e-05,0.0004892399098616814,6.670765949494414e-05
0.308,1.0,0.0,0.00045258489493101787,8.463967214617291e-05,0.0004465306048203948,0.00010444136148413447
0.31,1.0,0.0,0.0004518543894380373,8.389464128224109e-05,0.00045723814291224134,7.116586912585072e-05
0.312,1.0,0.0,0.0004510771742051459,8.314675616773741e-05,0.0004511034082863842,9.58060808308729e-05
0.314,1.0,0.0,0.0004502545055050791,8.23966046860002e-05,0.0004614661838386346,9.852759628602433e-05
0.316,1.0,0.0,0.0004493876463764951,8.164476292288026e-05,0.0004437442361118432,8.806913812040894e-05
0.318,1.0,0.0,0.0004484778657180146,8.089179497538547e-05,0.00044496517484684915,8.214698560548053e-05
0.32,1.0,0.0,0.0004475264373932613,8.013825277997611e-05,0.00043435009707138214,6.91614521058306e-05
0.322,1.0,0.0,0.0004465346393473817,7.938467595992205e-05,0.00045477479888013145,7.39803130053809e-05
0.324,1.0,0.0,0.000445503752735505,7.86315916911295e-05,0.00045037388759696214,8.622290861073998e-05
0.326,1.0,0.0,0.000444435061063583,7.787951458584212e-05,0.00045006453098307746,7.392102458339642e-05
0.328,1.0,0.0,0.0004433298493420312,7.712894659362103e-05,0.0004410293181267663,8.0701591740248e-05
0.33,1.0,0.0,0.00044218940325257343,7.638037691900759e-05,0.0004442786557687072,7.058111987574871e-05
0.332,1.0,0.0,0.0004410150083286717,7.563428195527453e-05,0.0004589849771172226,8.105569101098194e-05
0.334,1.0,0.0,0.00043980794914990414,7.489112523367324e-05,0.0004457852639268676,8.525656094460081e-05
0.336,1.0,0.0,0.0004385695085506358,7.415135738758825e-05,0.000464611731112586,4.823431727889275e-05
0.338,1.0,0.0,0.0004373009668433061,7.34154161310143e-05,0.0004469694279375706,8.063333124526128e-05
0.34,1.0,0.0,0.0004360036010566395,7.268372625077674e-05,0.000429801078150102,8.009435795393256e-05
0.342,1.0,0.0,0.0004346786841890655,7.195669961192155e-05,0.00043913343848065855,5.191763408369089e-05
0.34400000000000003,1.0,0.0,0.00043332748447761824,7.123473517570871e-05,0.0004590101620752059,5.8892304679769944e-05
0.34600000000000003,1.0,0.0,0.00043195126468256354,7.051821902964966e-05,0.0004310166006884154,8.000260945212417e-05
0.34800000000000003,1.0,0.0,0.00043055128138798707,6.980752442903808e-05,0.00043406942712980807,7.645024635790015e-05
0.35000000000000003,1.0,0.0,0.0004291287843185567,6.910301184943205e-05,0.0004411233333923311,5.854801798671073e-05
0.352,1.0,0.0,0.00042768501567265547,6.840502904955486e-05,0.0004399951688985544,7.898091779406073e-05
0.354,1.0,0.0,0.0004262212094720639,6.771391114409196e-05,0.00042594613322334676,7.878564133454789e-05
0.356,1.0,0.0,0.0004247385909283527,6.702998068587174e-05,0.0004284196857553075,8.279158915465838e-05
0.358,1.0,0.0,0.00042323837582613165,6.635354775692877e-05,0.00042122602000731885,8.9554408693612e-05
0.36,1.0,0.0,0.0004217217699232809,6.568491006795931e-05,0.0004260858472280799,8.360593875587072e-05
0.362,1.0,0.0,0.0004201899683682776,6.502435306569049e-05,0.00044576408534677514,9.338683406357956e-05
0.364,1.0,0.0,0.00041864415513471266,6.437215004769648e-05,0.000452491664032419,4.272770996966822e-05
0.366,1.0,0.0,0.0004170855024730779,6.372856228420685e-05,0.00037833151864270006,6.391057885541488e-05
0.368,1.0,0.0,0.00041551517037988737,6.309383914646517e-05,0.0003980797776956372,4.424698955907312e-05
0.37,1.0,0.0,0.00041393430608418287,6.246821824120764e-05,0.000409217394685962,5.3577875478670725e-05
0.372,1.0,0.0,0.0004123440435514575,6.185192555084507e-05,0.0004053881231030899,6.777439626662022e-05
0.374,1.0,0.0,0.00041074550300501775,6.124517557894364e-05,0.00043607593945423924,4.442203806260335e-05
0.376,1.0,0.0,0.00040913979046479034,6.064817150061294e-05,0.00043354412547396684,5.5938893031150567e-05
0.378,1.0,0.0,0.00040752799730356615,6.0061105317422934e-05,0.0004036541142021303,7.322076497875846e-05
0.38,1.0,0.0,0.00040591119982066003,5.948415801648381e-05,0.00041108250741944707,4.947667910446358e-05
0.382,1.0,0.0,0.0004042904588329525,5.891749973333626e-05,0.0003950537229594302,6.276492192175256e-05
0.384,1.0,0.0,0.0004026668192832675,5.836128991831202e-05,0.0003773594070206351,5.053228929475955e-05
